iter	RMSE
0	2.029673584
1	2.029670596
2	2.029669265
3	2.029667838
4	2.029667836
5	2.029666428
6	2.029665269
7	2.029664454
8	2.029664011
9	2.029663237
10	2.029661306
11	2.029659799
12	2.029658813
13	2.029658761
14	2.029657389
15	2.029656739
16	2.029655368
17	2.029654413
18	2.029652905
19	2.029651876
20	2.029651249
21	2.029650554
22	2.029648399
23	2.029648063
24	2.02964707
25	2.029646844
26	2.029645768
27	2.029643275
28	2.029642916
29	2.029641681
30	2.029639343
31	2.029638817
32	2.029638632
33	2.029638018
34	2.029634201
35	2.029634017
36	2.02963374
37	2.029632694
38	2.029630096
39	2.029627898
40	2.029627645
41	2.029627507
42	2.029626934
43	2.029626932
44	2.029626095
45	2.029625076
46	2.029624109
47	2.029622357
48	2.029621749
49	2.029619323
50	2.029617325
51	2.029616073
52	2.029614904
53	2.029613781
54	2.029612555
55	2.029610181
56	2.02960957
57	2.029609552
58	2.029608475
59	2.029607771
60	2.029607367
61	2.029606591
62	2.02960609
63	2.029605168
64	2.029603488
65	2.029603296
66	2.029602042
67	2.029601635
68	2.029601023
69	2.029598844
70	2.029597821
71	2.029596641
72	2.029594691
73	2.029591287
74	2.029590188
75	2.029589944
76	2.029587452
77	2.029586503
78	2.029583369
79	2.029582336
80	2.02958148
81	2.029581235
82	2.029580402
83	2.029579438
84	2.029578577
85	2.029577985
86	2.029576064
87	2.029574188
88	2.029573362
89	2.029570951
90	2.029569455
91	2.029567299
92	2.029566263
93	2.029565402
94	2.029564762
95	2.029562966
96	2.029561078
97	2.029560243
98	2.029559028
99	2.029557663
100	2.029557455
101	2.029555103
102	2.029555052
103	2.029554051
104	2.029553617
105	2.029552548
106	2.029551728
107	2.029549912
108	2.029549181
109	2.029548279
110	2.029547664
111	2.029545902
112	2.029545669
113	2.02954562
114	2.029544384
115	2.029543833
116	2.029541924
117	2.029540997
118	2.029538271
119	2.029535848
120	2.029534981
121	2.029533452
122	2.029531829
123	2.029530894
124	2.029530008
125	2.029528086
126	2.029528083
127	2.029526521
128	2.029523426
129	2.029522511
130	2.029522285
131	2.029521542
132	2.029520953
133	2.029519797
134	2.029518466
135	2.029517209
136	2.029516633
137	2.02951663
138	2.029516463
139	2.029513846
140	2.029509504
141	2.029507934
142	2.0295069
143	2.029504433
144	2.029502083
145	2.029499949
146	2.029499888
147	2.029499763
148	2.029498859
149	2.029496338
150	2.029496289
151	2.029496094
152	2.029495796
153	2.029494268
154	2.029492164
155	2.029488037
156	2.029485482
157	2.029484324
158	2.029483272
159	2.029479824
160	2.029478629
161	2.029477976
162	2.029476621
163	2.029475074
164	2.029472872
165	2.029472028
166	2.029469113
167	2.029468732
168	2.029468248
169	2.029465175
170	2.029463421
171	2.029462325
172	2.029462305
173	2.02946196
174	2.029458635
175	2.029456367
176	2.029454764
177	2.029454307
178	2.029452262
179	2.029450336
180	2.02944992
181	2.029447748
182	2.029447425
183	2.029445593
184	2.029445503
185	2.029444003
186	2.029442942
187	2.029442752
188	2.029442449
189	2.029441147
190	2.029440803
191	2.029437949
192	2.029437103
193	2.029436778
194	2.029436226
195	2.029434294
196	2.029434234
197	2.029434231
198	2.029433503
199	2.029432153
200	2.029430289
201	2.029428521
202	2.02942704
203	2.029424626
204	2.029422446
205	2.029421354
206	2.02941983
207	2.029418637
208	2.029418393
209	2.029417602
210	2.0294167
211	2.029416438
212	2.029415281
213	2.029413695
214	2.029413176
215	2.029411622
216	2.02941042
217	2.029409164
218	2.029408247
219	2.029406585
220	2.029404514
221	2.02940374
222	2.029401804
223	2.029401427
224	2.029399802
225	2.029396538
226	2.029396367
227	2.029394988
228	2.029393083
229	2.0293921
230	2.029389705
231	2.029388908
232	2.029388534
233	2.029386264
234	2.029384747
235	2.029384263
236	2.029383927
237	2.02938161
238	2.029379477
239	2.029379418
240	2.029379146
241	2.029378715
242	2.02937836
243	2.029378287
244	2.029377359
245	2.029377308
246	2.029376679
247	2.029376628
248	2.029374761
249	2.029374206
250	2.029373393
251	2.029372438
252	2.029370721
253	2.029370178
254	2.029367529
255	2.029365784
256	2.029365382
257	2.029363627
258	2.029361538
259	2.029360084
260	2.029359717
261	2.029357762
262	2.029355497
263	2.029354025
264	2.029352548
265	2.029350519
266	2.029350338
267	2.029345864
268	2.02934548
269	2.029344538
270	2.029344538
271	2.029344536
272	2.029344234
273	2.029344168
274	2.02934296
275	2.029341091
276	2.02934043
277	2.029339566
278	2.02933849
279	2.029337962
280	2.029337667
281	2.029336891
282	2.029335734
283	2.029335192
284	2.029334423
285	2.029334172
286	2.0293336
287	2.029331424
288	2.02933077
289	2.0293275
290	2.029327499
291	2.029326228
292	2.029324748
293	2.029322957
294	2.029320815
295	2.029320165
296	2.029318984
297	2.029318857
298	2.029317586
299	2.029317083
300	2.029315979
301	2.029315274
302	2.029313436
303	2.029311404
304	2.02931075
305	2.029310259
306	2.029308778
307	2.029307728
308	2.029307105
309	2.029306386
310	2.029305837
311	2.029303252
312	2.029300912
313	2.029300301
314	2.029298687
315	2.029297821
316	2.029297585
317	2.029297146
318	2.029296092
319	2.029293735
320	2.029291858
321	2.029290866
322	2.02928967
323	2.029289081
324	2.02928887
325	2.029288451
326	2.029287533
327	2.029287259
328	2.029286602
329	2.029286551
330	2.02928578
331	2.029283006
332	2.029282824
333	2.029281226
334	2.029280619
335	2.029279663
336	2.029279045
337	2.029278673
338	2.029277968
339	2.02927528
340	2.029273845
341	2.02927292
342	2.029271874
343	2.029271636
344	2.029271391
345	2.029269682
346	2.029268295
347	2.029268292
348	2.029267812
349	2.029266186
350	2.029263974
351	2.029262181
352	2.029262003
353	2.029261759
354	2.029260443
355	2.029259751
356	2.029256532
357	2.029255028
358	2.02925485
359	2.029254555
360	2.029254002
361	2.029254002
362	2.029253698
363	2.029252759
364	2.029249997
365	2.029246923
366	2.029245538
367	2.029243645
368	2.029241822
369	2.02924048
370	2.029238757
371	2.029237631
372	2.029235948
373	2.029234966
374	2.029234064
375	2.029233892
376	2.029233713
377	2.029233335
378	2.029233335
379	2.029232514
380	2.02923033
381	2.029229689
382	2.029227759
383	2.029225427
384	2.029224463
385	2.029222948
386	2.029221107
387	2.029219517
388	2.02921783
389	2.029213796
390	2.029213228
391	2.029212499
392	2.029211379
393	2.029210698
394	2.02920956
395	2.029206623
396	2.029204241
