iter	Passed	Remaining
0	13	13462
1	23	11642
2	33	11032
3	42	10593
4	46	9343
5	55	9132
6	67	9583
7	73	9113
8	80	8881
9	88	8759
10	100	9005
11	108	8947
12	117	8940
13	120	8505
14	128	8419
15	133	8204
16	141	8154
17	145	7944
18	155	8005
19	165	8129
20	173	8110
21	180	8025
22	187	7977
23	193	7851
24	201	7851
25	205	7706
26	210	7595
27	221	7699
28	228	7666
29	234	7572
30	241	7535
31	246	7442
32	249	7298
33	255	7252
34	263	7273
35	266	7146
36	272	7096
37	279	7065
38	288	7103
39	295	7085
40	305	7139
41	309	7068
42	314	7007
43	318	6909
44	324	6886
45	331	6878
46	339	6880
47	344	6830
48	351	6820
49	360	6850
50	367	6830
51	371	6779
52	379	6776
53	387	6793
54	392	6749
55	400	6751
56	405	6713
57	409	6647
58	419	6694
59	425	6660
60	428	6598
61	433	6551
62	439	6537
63	449	6571
64	457	6579
65	460	6514
66	469	6539
67	474	6510
68	480	6489
69	491	6536
70	497	6515
71	505	6518
72	514	6536
73	522	6538
74	530	6541
75	533	6491
76	540	6484
77	546	6459
78	555	6473
79	564	6492
80	573	6501
81	581	6513
82	585	6473
83	595	6493
84	600	6467
85	606	6441
86	613	6433
87	621	6441
88	626	6415
89	636	6433
90	642	6413
91	647	6394
92	654	6382
93	659	6359
94	665	6338
95	675	6360
96	686	6388
97	694	6388
98	702	6391
99	709	6384
100	713	6353
101	721	6348
102	724	6311
103	734	6324
104	745	6356
105	756	6382
106	761	6359
107	777	6422
108	784	6412
109	792	6408
110	796	6377
111	804	6376
112	813	6381
113	816	6346
114	821	6325
115	833	6351
116	840	6340
117	846	6327
118	858	6355
119	869	6372
120	877	6376
121	886	6383
122	892	6366
123	902	6372
124	908	6357
125	918	6369
126	921	6331
127	931	6343
128	940	6347
129	944	6322
130	956	6348
131	964	6344
132	970	6325
133	980	6335
134	985	6314
135	993	6313
136	1006	6343
137	1009	6307
138	1017	6301
139	1028	6315
140	1038	6325
141	1050	6347
142	1056	6332
143	1067	6344
144	1075	6344
145	1085	6349
146	1088	6315
147	1092	6286
148	1098	6271
149	1113	6311
150	1117	6284
151	1122	6260
152	1129	6252
153	1135	6235
154	1146	6250
155	1159	6274
156	1172	6293
157	1179	6283
158	1189	6293
159	1198	6290
160	1206	6286
161	1212	6270
162	1219	6261
163	1229	6266
164	1243	6290
165	1253	6300
166	1264	6306
167	1270	6289
168	1275	6271
169	1287	6284
170	1296	6286
171	1301	6267
172	1307	6248
173	1312	6232
174	1326	6252
175	1338	6265
176	1346	6260
177	1357	6268
178	1365	6264
179	1373	6258
180	1379	6242
181	1388	6240
182	1392	6214
183	1404	6227
184	1407	6202
185	1413	6185
186	1421	6179
187	1427	6164
188	1431	6143
189	1437	6127
190	1440	6102
191	1451	6110
192	1459	6102
193	1470	6109
194	1478	6105
195	1493	6124
196	1497	6102
197	1499	6075
198	1515	6099
199	1522	6091
200	1530	6082
201	1538	6077
202	1543	6060
203	1554	6064
204	1567	6077
205	1576	6076
206	1586	6079
207	1593	6066
208	1597	6047
209	1604	6034
210	1612	6028
211	1616	6007
212	1624	6002
213	1635	6007
214	1640	5989
215	1646	5976
216	1654	5970
217	1660	5955
218	1667	5946
219	1674	5938
220	1683	5935
221	1689	5921
222	1697	5913
223	1702	5897
224	1710	5890
225	1719	5889
226	1723	5867
227	1731	5861
228	1738	5854
229	1749	5858
230	1766	5880
231	1785	5911
232	1795	5911
233	1806	5914
234	1814	5906
235	1820	5894
236	1826	5879
237	1836	5878
238	1844	5872
239	1847	5850
240	1853	5836
241	1858	5822
242	1863	5806
243	1870	5793
244	1876	5782
245	1880	5765
246	1886	5752
247	1890	5733
248	1900	5732
249	1910	5730
250	1915	5715
251	1924	5713
252	1935	5715
253	1944	5711
254	1951	5701
255	1956	5686
256	1966	5684
257	1974	5677
258	1983	5673
259	1988	5660
260	1994	5646
261	2000	5634
262	2009	5632
263	2022	5639
264	2031	5634
265	2049	5656
266	2053	5636
267	2065	5642
268	2074	5636
269	2081	5627
270	2084	5607
271	2087	5587
272	2092	5573
273	2097	5557
274	2104	5549
275	2114	5545
276	2127	5551
277	2134	5543
278	2140	5532
279	2144	5513
280	2149	5499
281	2158	5495
282	2165	5486
283	2170	5472
284	2175	5458
285	2184	5453
286	2195	5453
287	2200	5440
288	2208	5433
289	2218	5431
290	2222	5415
291	2229	5405
292	2236	5396
293	2247	5398
294	2257	5394
295	2264	5384
296	2272	5378
297	2278	5367
298	2292	5374
299	2301	5370
300	2308	5360
301	2316	5355
302	2324	5346
303	2335	5346
304	2342	5338
305	2351	5332
306	2361	5330
307	2372	5329
308	2378	5318
309	2386	5310
310	2390	5296
311	2399	5292
312	2408	5285
313	2413	5273
314	2421	5264
315	2429	5258
316	2433	5244
317	2444	5242
318	2455	5241
319	2464	5236
320	2471	5228
321	2477	5216
322	2486	5211
323	2491	5197
324	2494	5181
325	2505	5179
326	2511	5168
327	2515	5154
328	2521	5142
329	2524	5126
330	2535	5123
331	2544	5118
332	2553	5114
333	2568	5120
334	2577	5115
335	2594	5127
336	2601	5118
337	2605	5102
338	2610	5089
339	2620	5087
340	2630	5083
341	2641	5083
342	2649	5075
343	2656	5066
344	2661	5053
345	2673	5053
346	2680	5043
347	2683	5026
348	2693	5024
349	2700	5015
350	2706	5004
351	2716	5000
352	2718	4983
353	2724	4972
354	2730	4960
355	2735	4949
356	2743	4941
357	2754	4938
358	2756	4922
359	2761	4910
360	2766	4897
361	2769	4881
362	2774	4869
363	2782	4861
364	2789	4852
365	2803	4857
366	2810	4847
367	2820	4843
368	2830	4840
369	2838	4833
370	2846	4825
371	2855	4819
372	2865	4816
373	2878	4817
374	2891	4818
375	2897	4807
376	2902	4796
377	2913	4794
378	2915	4777
379	2918	4762
380	2927	4755
381	2933	4745
382	2943	4741
383	2953	4737
384	2962	4732
385	2971	4726
386	2980	4721
387	2990	4717
388	3003	4717
389	3016	4717
390	3025	4711
391	3031	4702
392	3037	4691
393	3043	4680
394	3049	4671
395	3057	4663
396	3063	4653
397	3070	4644
398	3080	4639
399	3092	4639
400	3104	4636
401	3116	4635
402	3122	4626
403	3125	4610
404	3131	4599
405	3138	4592
406	3146	4583
407	3152	4573
408	3162	4569
409	3167	4558
410	3179	4556
411	3192	4555
412	3199	4547
413	3207	4540
414	3212	4529
415	3217	4517
416	3224	4508
417	3235	4505
418	3245	4500
419	3256	4497
420	3266	4492
421	3269	4478
422	3276	4469
423	3286	4464
424	3295	4457
425	3305	4454
426	3309	4440
427	3316	4432
428	3323	4423
429	3331	4415
430	3335	4403
431	3344	4397
432	3349	4386
433	3352	4372
434	3357	4360
435	3365	4353
436	3373	4346
437	3377	4333
438	3382	4323
439	3390	4315
440	3399	4309
441	3408	4303
442	3414	4292
443	3425	4289
444	3433	4282
445	3443	4277
446	3452	4271
447	3457	4260
448	3468	4257
449	3478	4251
450	3489	4248
451	3498	4241
452	3506	4234
453	3517	4230
454	3529	4227
455	3535	4217
456	3540	4207
457	3543	4193
458	3555	4190
459	3560	4180
460	3569	4173
461	3580	4169
462	3611	4188
463	3621	4183
464	3628	4174
465	3637	4167
466	3643	4158
467	3650	4149
468	3659	4143
469	3668	4137
470	3680	4134
471	3687	4124
472	3692	4114
473	3706	4112
474	3709	4099
475	3720	4095
476	3734	4094
477	3747	4092
478	3755	4085
479	3767	4081
480	3773	4071
481	3779	4061
482	3786	4053
483	3793	4043
484	3806	4042
485	3815	4035
486	3832	4036
487	3840	4028
488	3854	4028
489	3859	4016
490	3864	4006
491	3870	3996
492	3878	3988
493	3884	3979
494	3895	3974
495	3906	3969
496	3915	3962
497	3917	3949
498	3922	3938
499	3927	3927
500	3930	3914
501	3934	3903
502	3943	3896
503	3949	3886
504	3960	3882
505	3970	3876
506	3979	3870
507	3990	3864
508	3994	3853
509	4001	3844
510	4009	3837
511	4012	3824
512	4021	3817
513	4034	3814
514	4037	3801
515	4043	3792
516	4053	3786
517	4062	3779
518	4070	3772
519	4080	3766
520	4091	3761
521	4095	3750
522	4098	3738
523	4106	3730
524	4113	3721
525	4120	3713
526	4127	3704
527	4132	3694
528	4142	3688
529	4145	3676
530	4151	3666
531	4161	3660
532	4171	3654
533	4180	3648
534	4189	3641
535	4195	3632
536	4203	3624
537	4213	3618
538	4219	3609
539	4224	3598
540	4232	3591
541	4241	3584
542	4246	3574
543	4257	3568
544	4266	3561
545	4269	3550
546	4278	3542
547	4285	3534
548	4293	3526
549	4300	3518
550	4304	3507
551	4314	3501
552	4326	3496
553	4332	3488
554	4340	3480
555	4347	3472
556	4353	3462
557	4360	3454
558	4367	3445
559	4371	3434
560	4378	3425
561	4383	3416
562	4389	3407
563	4395	3397
564	4403	3390
565	4410	3382
566	4419	3375
567	4427	3367
568	4435	3360
569	4444	3352
570	4448	3342
571	4454	3332
572	4463	3326
573	4470	3317
574	4481	3312
575	4491	3306
576	4497	3296
577	4506	3290
578	4509	3279
579	4514	3269
580	4523	3262
581	4531	3254
582	4536	3245
583	4541	3234
584	4546	3225
585	4551	3215
586	4554	3204
587	4562	3197
588	4568	3188
589	4578	3181
590	4583	3171
591	4588	3162
592	4592	3151
593	4601	3145
594	4604	3134
595	4607	3123
596	4613	3114
597	4620	3106
598	4623	3095
599	4631	3087
600	4639	3080
601	4644	3070
602	4653	3063
603	4661	3056
604	4670	3049
605	4679	3042
606	4682	3031
607	4687	3022
608	4697	3016
609	4708	3010
610	4719	3004
611	4728	2997
612	4735	2989
613	4738	2978
614	4741	2968
615	4747	2959
616	4755	2951
617	4757	2941
618	4766	2933
619	4772	2924
620	4781	2918
621	4790	2911
622	4796	2902
623	4799	2891
624	4806	2884
625	4814	2876
626	4821	2868
627	4829	2860
628	4838	2854
629	4846	2846
630	4857	2840
631	4869	2835
632	4876	2827
633	4885	2820
634	4896	2814
635	4904	2807
636	4913	2799
637	4921	2792
638	4928	2784
639	4931	2774
640	4947	2770
641	4952	2761
642	4958	2753
643	4962	2743
644	4972	2737
645	4978	2728
646	4981	2718
647	4988	2709
648	4995	2701
649	5002	2693
650	5008	2685
651	5014	2676
652	5021	2668
653	5026	2659
654	5030	2649
655	5035	2640
656	5041	2632
657	5047	2623
658	5055	2615
659	5057	2605
660	5062	2596
661	5066	2586
662	5073	2578
663	5078	2569
664	5089	2563
665	5097	2556
